id,score
astro-ph/0310275,0
astro-ph/0310276,0
astro-ph/0310277,2
astro-ph/0310278,0
astro-ph/0310279,0
astro-ph/0310280,0
astro-ph/0310281,3
astro-ph/0310282,0
astro-ph/0310283,0
astro-ph/0310285,0
astro-ph/0310286,0
astro-ph/0310287,0
astro-ph/0310288,0
astro-ph/0310290,0
astro-ph/0310291,2
astro-ph/0310292,0
astro-ph/0310293,0
astro-ph/0310294,1
astro-ph/0310295,0
astro-ph/0310296,0
astro-ph/0310297,0
astro-ph/0310298,0
astro-ph/0310299,2
astro-ph/0310301,0
astro-ph/0310303,0
astro-ph/0310304,0
astro-ph/0310305,0
astro-ph/0310306,0
astro-ph/0310307,0
astro-ph/0310308,1
astro-ph/0310309,0
astro-ph/0310310,0
astro-ph/0310311,0
astro-ph/0310312,0
astro-ph/0310313,0
astro-ph/0310314,1
astro-ph/0310315,0
astro-ph/0310316,1
astro-ph/0310317,0
astro-ph/0310318,2
astro-ph/0310319,0
astro-ph/0310320,0
astro-ph/0310321,0
astro-ph/0310322,0
astro-ph/0310323,0
astro-ph/0310324,0
astro-ph/0310326,0
astro-ph/0310327,0
astro-ph/0310328,0
astro-ph/0310329,0
astro-ph/0310330,0
astro-ph/0310331,1
astro-ph/0310332,1
astro-ph/0310333,1
astro-ph/0310334,0
astro-ph/0310336,2
astro-ph/0310337,0
astro-ph/0310338,0
astro-ph/0310339,1
astro-ph/0310341,1
astro-ph/0310343,0
astro-ph/0310344,0
astro-ph/0310345,1
astro-ph/0310346,1
astro-ph/0310347,0
astro-ph/0310348,0
astro-ph/0310349,1
astro-ph/0310350,0
astro-ph/0310351,0
astro-ph/0310352,0
astro-ph/0310353,0
astro-ph/0310354,0
astro-ph/0310355,0
astro-ph/0310356,0
astro-ph/0310358,0
astro-ph/0310359,0
astro-ph/0310360,0
astro-ph/0310361,0
astro-ph/0310362,0
astro-ph/0310363,1
astro-ph/0310364,1
astro-ph/0310365,1
astro-ph/0310366,0
astro-ph/0310369,0
astro-ph/0310370,0
astro-ph/0310371,0
astro-ph/0310372,1
astro-ph/0310373,0
astro-ph/0310374,0
astro-ph/0310375,0
astro-ph/0310376,0
astro-ph/0310377,0
astro-ph/0310378,0
astro-ph/0310379,0
astro-ph/0310380,0
astro-ph/0310381,0
astro-ph/0310382,0
astro-ph/0310383,0
astro-ph/0310385,1
astro-ph/0310386,0
astro-ph/0310387,0
astro-ph/0310388,0
astro-ph/0310389,0
astro-ph/0310391,0
astro-ph/0310392,0
astro-ph/0310393,0
astro-ph/0310394,0
astro-ph/0310395,1
astro-ph/0310396,1
astro-ph/0310397,0
astro-ph/0310398,0
astro-ph/0310399,2
astro-ph/0310401,1
astro-ph/0310402,0
astro-ph/0310403,1
astro-ph/0310404,0
astro-ph/0310405,0
astro-ph/0310406,0
astro-ph/0310407,1
astro-ph/0310408,0
astro-ph/0310409,0
astro-ph/0310410,0
astro-ph/0310411,0
astro-ph/0310414,1
astro-ph/0310415,2
astro-ph/0310416,0
astro-ph/0310417,0
astro-ph/0310418,1
astro-ph/0310419,0
astro-ph/0310420,0
astro-ph/0310421,2
astro-ph/0310422,0
astro-ph/0310423,0
astro-ph/0310425,1
astro-ph/0310426,0
astro-ph/0310427,0
astro-ph/0310428,0
astro-ph/0310429,1
astro-ph/0310430,0
astro-ph/0310431,0
astro-ph/0310432,0
astro-ph/0310433,1
astro-ph/0310434,0
astro-ph/0310435,1
astro-ph/0310437,2
astro-ph/0310438,0
astro-ph/0310440,2
astro-ph/0310441,0
astro-ph/0310442,0
astro-ph/0310443,0
astro-ph/0310444,1
astro-ph/0310445,1
astro-ph/0310446,0
astro-ph/0310447,0
astro-ph/0310448,0
astro-ph/0310449,0
astro-ph/0310451,0
astro-ph/0310452,1
astro-ph/0310453,1
astro-ph/0310454,0
astro-ph/0310455,0
astro-ph/0310456,0
astro-ph/0310457,0
astro-ph/0310458,0
astro-ph/0310459,2
astro-ph/0310461,0
astro-ph/0310462,0
astro-ph/0310463,0
astro-ph/0310464,0
astro-ph/0310465,0
astro-ph/0310466,0
astro-ph/0310467,0
astro-ph/0310468,0
astro-ph/0310469,0
astro-ph/0310470,0
astro-ph/0310472,1
astro-ph/0310473,0
astro-ph/0310476,2
astro-ph/0310477,2
astro-ph/0310478,1
astro-ph/0310479,0
astro-ph/0310480,0
astro-ph/0310481,0
astro-ph/0310482,1
astro-ph/0310483,0
astro-ph/0310484,0
astro-ph/0310485,0
astro-ph/0310486,0
astro-ph/0310487,0
astro-ph/0310488,0
astro-ph/0310489,1
astro-ph/0310490,0
astro-ph/0310491,0
astro-ph/0310492,0
astro-ph/0310493,0
astro-ph/0310494,2
astro-ph/0310495,1
astro-ph/0310496,0
astro-ph/0310497,0
astro-ph/0310498,1
astro-ph/0310499,0
astro-ph/0310500,0
astro-ph/0310501,1
astro-ph/0310502,0
astro-ph/0310503,1
astro-ph/0310504,2
astro-ph/0310505,0
astro-ph/0310506,1
astro-ph/0310507,0
astro-ph/0310508,2
astro-ph/0310509,0
astro-ph/0310510,1
astro-ph/0310511,2
astro-ph/0310512,0
astro-ph/0310513,1
astro-ph/0310514,0
astro-ph/0310516,2
astro-ph/0310517,0
astro-ph/0310518,0
astro-ph/0310521,0
astro-ph/0310523,0
astro-ph/0310525,0
astro-ph/0310526,0
astro-ph/0310527,1
astro-ph/0310528,0
astro-ph/0310529,0
astro-ph/0310530,0
astro-ph/0310531,0
astro-ph/0310532,0
astro-ph/0310533,1
astro-ph/0310534,0
astro-ph/0310536,0
astro-ph/0310537,0
astro-ph/0310538,0
astro-ph/0310539,1
astro-ph/0310540,0
astro-ph/0310541,0
astro-ph/0310543,0
astro-ph/0310544,1
astro-ph/0310545,0
astro-ph/0310546,0
astro-ph/0310547,0
astro-ph/0310548,1
astro-ph/0310550,0
astro-ph/0310551,0
astro-ph/0310552,0
astro-ph/0310553,1
astro-ph/0310554,0
astro-ph/0310555,1
astro-ph/0310556,0
astro-ph/0310558,0
astro-ph/0310559,0
astro-ph/0310560,1
astro-ph/0310561,1
astro-ph/0310563,0
astro-ph/0310564,1
astro-ph/0310565,1
astro-ph/0310566,1
astro-ph/0310567,0
astro-ph/0310568,0
astro-ph/0310569,0
astro-ph/0310570,0
astro-ph/0310571,0
astro-ph/0310572,0
astro-ph/0310573,0
astro-ph/0310574,0
astro-ph/0310575,1
astro-ph/0310576,0
astro-ph/0310578,1
astro-ph/0310579,0
astro-ph/0310581,0
astro-ph/0310582,0
astro-ph/0310583,0
astro-ph/0310584,0
astro-ph/0310585,0
astro-ph/0310586,1
astro-ph/0310587,0
astro-ph/0310588,0
astro-ph/0310589,0
astro-ph/0310590,0
astro-ph/0310591,0
astro-ph/0310593,0
astro-ph/0310594,0
astro-ph/0310595,1
astro-ph/0310596,0
astro-ph/0310597,0
astro-ph/0310598,0
astro-ph/0310599,1
astro-ph/0310600,0
astro-ph/0310601,0
astro-ph/0310602,1
astro-ph/0310603,0
astro-ph/0310604,0
astro-ph/0310605,0
astro-ph/0310606,1
astro-ph/0310607,2
astro-ph/0310608,0
astro-ph/0310609,0
astro-ph/0310610,0
astro-ph/0310611,1
astro-ph/0310612,1
astro-ph/0310613,0
astro-ph/0310614,1
astro-ph/0310615,0
astro-ph/0310616,1
astro-ph/0310617,2
astro-ph/0310618,0
astro-ph/0310620,2
astro-ph/0310621,1
astro-ph/0310623,0
astro-ph/0310624,0
astro-ph/0310626,1
astro-ph/0310627,1
astro-ph/0310628,0
astro-ph/0310629,1
astro-ph/0310630,0
astro-ph/0310631,0
astro-ph/0310632,0
astro-ph/0310633,0
astro-ph/0310634,0
astro-ph/0310635,1
astro-ph/0310636,0
astro-ph/0310637,0
astro-ph/0310638,0
astro-ph/0310639,2
astro-ph/0310640,0
astro-ph/0310641,0
astro-ph/0310642,0
astro-ph/0310643,0
astro-ph/0310644,0
astro-ph/0310646,1
astro-ph/0310647,0
astro-ph/0310648,0
astro-ph/0310649,0
astro-ph/0310652,1
astro-ph/0310653,0
astro-ph/0310654,0
astro-ph/0310655,0
astro-ph/0310656,2
astro-ph/0310658,0
astro-ph/0310659,0
astro-ph/0310660,0
astro-ph/0310661,0
astro-ph/0310662,0
astro-ph/0310663,0
astro-ph/0310664,3
astro-ph/0310666,0
astro-ph/0310667,0
astro-ph/0310668,0
astro-ph/0310669,0
astro-ph/0310670,1
astro-ph/0310671,0
astro-ph/0310672,0
astro-ph/0310673,2
astro-ph/0310674,0
astro-ph/0310675,1
astro-ph/0310676,0
astro-ph/0310677,0
astro-ph/0310678,0
astro-ph/0310679,2
astro-ph/0310680,1
astro-ph/0310681,0
astro-ph/0310682,2
astro-ph/0310683,0
astro-ph/0310684,2
astro-ph/0310686,0
astro-ph/0310687,0
astro-ph/0310688,0
astro-ph/0310689,0
astro-ph/0310690,1
astro-ph/0310691,0
astro-ph/0310692,0
astro-ph/0310693,1
astro-ph/0310694,0
astro-ph/0310695,0
astro-ph/0310698,1
astro-ph/0310699,0
astro-ph/0310700,0
astro-ph/0310702,0
astro-ph/0310704,0
astro-ph/0310705,0
astro-ph/0310706,0
astro-ph/0310707,0
astro-ph/0310708,0
astro-ph/0310709,0
astro-ph/0310711,0
astro-ph/0310713,1
astro-ph/0310715,0
astro-ph/0310716,0
astro-ph/0310717,0
astro-ph/0310718,0
astro-ph/0310719,0
astro-ph/0310720,0
astro-ph/0310721,0
astro-ph/0310722,1
astro-ph/0310723,4
astro-ph/0310724,0
astro-ph/0310727,2
astro-ph/0310729,1
astro-ph/0310730,0
astro-ph/0310731,0
astro-ph/0310732,0
astro-ph/0310733,1
astro-ph/0310734,0
astro-ph/0310735,2
astro-ph/0310739,1
astro-ph/0310740,0
astro-ph/0310741,0
astro-ph/0310742,0
astro-ph/0310743,0
astro-ph/0310744,1
astro-ph/0310746,1
astro-ph/0310747,0
astro-ph/0310748,0
astro-ph/0310749,0
astro-ph/0310750,0
astro-ph/0310751,0
astro-ph/0310753,1
astro-ph/0310755,1
astro-ph/0310756,3
astro-ph/0310758,1
astro-ph/0310759,2
astro-ph/0310760,0
astro-ph/0310761,2
astro-ph/0310762,0
astro-ph/0310763,0
astro-ph/0310764,0
astro-ph/0310765,0
astro-ph/0310766,0
astro-ph/0310767,0
astro-ph/0310768,0
astro-ph/0310769,3
astro-ph/0310770,0
astro-ph/0310771,0
astro-ph/0310772,1
astro-ph/0310773,0
astro-ph/0310774,1
astro-ph/0310775,1
astro-ph/0310776,1
astro-ph/0310777,0
astro-ph/0310778,1
astro-ph/0310779,4
astro-ph/0310780,0
astro-ph/0310781,0
astro-ph/0310782,0
astro-ph/0310783,0
astro-ph/0310784,1
astro-ph/0310785,0
astro-ph/0310786,0
astro-ph/0310789,0
astro-ph/0310790,1
astro-ph/0310791,0
astro-ph/0310793,0
astro-ph/0310794,2
astro-ph/0310795,0
astro-ph/0310796,0
astro-ph/0310798,0
astro-ph/0310799,1
astro-ph/0310800,0
astro-ph/0310801,0
astro-ph/0310802,0
astro-ph/0310803,0
astro-ph/0310804,0
astro-ph/0310805,0
astro-ph/0310806,0
astro-ph/0310808,0
astro-ph/0310809,0
astro-ph/0310810,0
astro-ph/0310811,0
astro-ph/0310812,0
astro-ph/0310813,1
astro-ph/0310814,1
astro-ph/0310815,0
astro-ph/0310816,1
astro-ph/0310817,0
astro-ph/0310818,0
astro-ph/0310819,1
astro-ph/0310820,0
astro-ph/0310822,0
astro-ph/0310823,0
astro-ph/0310824,0
astro-ph/0310825,1
astro-ph/0310826,0
astro-ph/0310827,0
astro-ph/0310828,0
astro-ph/0310829,0
astro-ph/0310830,0
astro-ph/0310831,0
astro-ph/0310832,0
astro-ph/0310833,0
astro-ph/0310834,0
astro-ph/0310835,0
astro-ph/0310836,0
astro-ph/0310837,0
astro-ph/0310838,0
astro-ph/0310839,1
astro-ph/0310841,1
astro-ph/0310842,2
astro-ph/0310843,1
astro-ph/0310844,0
astro-ph/0310845,0
astro-ph/0310846,0
astro-ph/0310847,0
astro-ph/0310848,0
astro-ph/0310849,0
astro-ph/0310850,0
astro-ph/0310851,1
astro-ph/0310852,0
astro-ph/0310853,0
astro-ph/0310854,1
astro-ph/0310855,0
astro-ph/0310856,0
astro-ph/0310858,0
astro-ph/0310859,0
astro-ph/0310860,1
astro-ph/0310861,0
astro-ph/0310862,0
astro-ph/0310863,0
astro-ph/0310864,1
astro-ph/0310866,2
astro-ph/0310867,1
astro-ph/0310868,0
astro-ph/0310869,1
astro-ph/0310871,0
astro-ph/0310872,0
astro-ph/0310873,3
astro-ph/0310874,0
astro-ph/0310875,0
astro-ph/0310876,0
astro-ph/0310877,0
astro-ph/0310878,0
astro-ph/0310879,0
astro-ph/0310880,0
astro-ph/0310881,0
astro-ph/0310882,0
astro-ph/0310883,0
astro-ph/0310884,0
astro-ph/0310885,0
astro-ph/0310886,1
astro-ph/0310888,0
astro-ph/0310891,0
astro-ph/0310892,3
astro-ph/0310893,1
astro-ph/0310894,0
astro-ph/0310896,0
astro-ph/0310897,0
astro-ph/0310898,0
astro-ph/0310900,0
astro-ph/0310902,0
astro-ph/0310903,1
astro-ph/0310904,0
astro-ph/0310905,0
astro-ph/0310906,0
astro-ph/0310907,0
astro-ph/0310908,0
astro-ph/0310909,0
astro-ph/0310910,0
astro-ph/0310911,0
astro-ph/0310912,1
astro-ph/0310913,0
astro-ph/0310914,0
astro-ph/0310915,2
astro-ph/0310916,0
astro-ph/0310917,0
cond-mat/0310082,0
gr-qc/0310008,0
gr-qc/0310013,0
gr-qc/0310015,0
gr-qc/0310021,0
gr-qc/0310024,0
gr-qc/0310025,1
gr-qc/0310027,0
gr-qc/0310030,1
gr-qc/0310043,1
gr-qc/0310044,0
gr-qc/0310045,0
gr-qc/0310051,0
gr-qc/0310058,0
gr-qc/0310059,0
gr-qc/0310061,0
gr-qc/0310062,0
gr-qc/0310063,0
gr-qc/0310065,0
gr-qc/0310079,0
gr-qc/0310086,0
gr-qc/0310088,0
gr-qc/0310107,0
gr-qc/0310114,0
gr-qc/0310125,0
gr-qc/0310134,0
hep-ph/0310024,0
hep-ph/0310030,0
hep-ph/0310052,0
hep-ph/0310054,1
hep-ph/0310066,0
hep-ph/0310091,0
hep-ph/0310112,0
hep-ph/0310119,0
hep-ph/0310138,0
hep-ph/0310194,0
hep-ph/0310228,0
hep-ph/0310245,0
hep-ph/0310255,0
hep-ph/0310258,0
hep-ph/0310272,0
hep-ph/0310278,0
hep-ph/0310286,0
hep-ph/0310304,0
hep-ph/0310331,0
hep-ph/0310342,0
hep-ph/0310366,0
hep-ph/0310368,0
hep-th/0310007,0
hep-th/0310034,0
hep-th/0310045,0
hep-th/0310059,0
hep-th/0310068,0
hep-th/0310122,0
hep-th/0310139,0
hep-th/0310140,0
hep-th/0310162,0
hep-th/0310206,0
hep-th/0310211,0
hep-th/0310221,1
hep-th/0310265,0
hep-th/0310282,0
hep-th/0310293,0
hep-th/0310296,0
nucl-th/0310046,0
physics/0310134,0
physics/0310142,0
