id,abstract,conclusion,n_conclusion_sections,total
0704.1899,0,0,1,0
0704.1904,0,0,0,0
0704.1905,0,0,0,0
0704.1907,0,0,1,0
0704.1910,0,0,1,0
0704.1919,0,11,2,11
0704.1920,0,0,1,0
0704.1927,0,0,1,0
0704.1932,0,0,0,0
0704.1945,0,0,2,0
0704.1958,1,5,2,6
0704.1963,0,0,1,0
0704.1968,0,0,0,0
0704.1998,0,0,1,0
0704.1999,0,0,0,0
0704.2002,0,0,1,0
0704.2015,0,0,1,0
0704.2032,0,0,2,0
0704.2051,1,1,1,2
0704.2053,0,4,2,4
0704.2057,0,9,2,9
0704.2058,0,3,2,3
0704.2059,0,1,1,1
0704.2064,0,0,1,0
0704.2068,0,0,1,0
0704.2070,0,0,1,0
0704.2073,0,0,1,0
0704.2074,0,1,1,1
0704.2075,2,1,1,3
0704.2079,1,0,0,1
0704.2085,2,1,2,3
0704.2086,0,0,1,0
0704.2095,0,0,2,0
0704.2100,0,0,1,0
0704.2120,0,0,1,0
0704.2126,0,0,1,0
0704.2131,0,0,1,0
0704.2134,0,13,2,13
0704.2135,0,0,1,0
0704.2136,0,0,1,0
0704.2140,8,3,1,11
0704.2141,0,0,0,0
0704.2143,0,0,1,0
0704.2145,0,0,0,0
0704.2157,0,0,1,0
0704.2159,0,0,2,0
0704.2162,0,0,0,0
0704.2166,1,0,1,1
0704.2174,0,0,0,0
0704.2175,0,1,1,1
0704.2177,0,0,1,0
0704.2179,0,0,2,0
0704.2182,0,0,1,0
0704.2187,0,0,1,0
0704.2189,1,2,1,3
0704.2192,0,0,2,0
0704.2196,2,24,2,26
0704.2198,0,0,0,0
0704.2204,2,0,0,2
0704.2209,0,0,1,0
0704.2210,1,0,1,1
0704.2217,0,0,2,0
0704.2226,0,0,0,0
0704.2228,0,0,1,0
0704.2235,2,17,2,19
0704.2238,0,1,2,1
0704.2239,0,0,1,0
0704.2240,0,0,1,0
0704.2249,0,0,1,0
0704.2255,1,0,1,1
0704.2270,0,0,1,0
0704.2271,0,0,0,0
0704.2272,0,0,1,0
0704.2284,0,0,1,0
0704.2285,2,0,0,2
0704.2286,0,0,0,0
0704.2288,0,0,1,0
0704.2293,0,0,0,0
0704.2294,1,2,1,3
0704.2301,2,0,0,2
0704.2305,2,12,2,14
0704.2309,0,0,2,0
0704.2318,0,0,1,0
0704.2320,0,0,2,0
0704.2332,0,0,2,0
0704.2335,0,28,1,28
0704.2340,0,0,1,0
0704.2345,0,0,1,0
0704.2350,0,0,2,0
0704.2387,0,1,2,1
0704.2390,0,0,1,0
0704.2405,0,0,0,0
0704.2406,0,0,0,0
0704.2407,0,0,1,0
0704.2408,0,0,1,0
0704.2413,0,1,1,1
0704.2415,0,0,1,0
0704.2416,0,0,1,0
0704.2417,0,0,1,0
0704.2418,0,0,2,0
0704.2420,0,1,1,1
0704.2421,0,0,1,0
0704.2422,0,0,2,0
0704.2426,0,0,0,0
0704.2430,0,1,1,1
0704.2434,0,0,1,0
0704.2436,0,0,1,0
0704.2444,0,0,0,0
0704.2445,0,2,1,2
0704.2455,0,0,1,0
0704.2459,1,5,1,6
0704.2460,0,0,1,0
0704.2461,0,0,1,0
0704.2463,0,0,0,0
0704.2469,1,3,1,4
0704.2486,1,6,2,7
0704.2494,0,1,1,1
0704.2520,0,0,0,0
0704.2525,0,0,1,0
0704.2532,0,0,1,0
0704.2535,0,0,1,0
0704.2541,0,0,1,0
0704.2543,0,0,2,0
0704.2545,0,0,1,0
0704.2549,0,0,1,0
0704.2557,0,0,1,0
0704.2558,0,0,0,0
0704.2568,0,2,2,2
0704.2569,0,1,2,1
0704.2573,0,1,1,1
0704.2577,0,0,1,0
0704.2579,0,0,1,0
0704.2589,1,0,1,1
0704.2593,0,0,1,0
0704.2595,0,0,1,0
0704.2601,0,1,2,1
0704.2603,0,0,1,0
0704.2604,2,3,2,5
0704.2605,0,0,2,0
0704.2606,0,0,1,0
0704.2607,1,9,2,10
0704.2608,0,0,1,0
0704.2612,0,0,1,0
0704.2620,0,0,0,0
0704.2637,0,1,1,1
0704.2640,0,0,2,0
0704.2641,0,0,0,0
0704.2642,0,0,1,0
0704.2643,0,0,0,0
0704.2655,1,0,1,1
0704.2657,0,0,1,0
0704.2667,0,0,1,0
0704.2671,0,0,2,0
0704.2678,1,53,2,54
0704.2681,0,0,1,0
0704.2685,0,0,1,0
0704.2689,0,0,0,0
0704.2690,1,2,2,3
0704.2693,0,0,1,0
0704.2698,0,0,1,0
0704.2704,0,0,2,0
0704.2705,0,0,1,0
0704.2709,0,0,2,0
0704.2710,0,0,0,0
0704.2718,0,7,2,7
0704.2719,0,0,2,0
0704.2722,0,1,2,1
0704.2729,0,0,1,0
0704.2737,2,6,1,8
0704.2738,0,0,1,0
0704.2740,0,0,2,0
0704.2741,0,0,2,0
0704.2747,0,0,1,0
0704.2758,0,0,0,0
0704.2767,0,3,2,3
0704.2780,0,0,1,0
0704.2781,0,0,2,0
0704.2783,0,0,1,0
0704.2818,0,0,0,0
0704.2820,0,0,1,0
0704.2821,0,1,2,1
0704.2828,0,0,0,0
0704.2836,0,0,0,0
0704.2837,0,0,1,0
0704.2839,0,1,1,1
0704.2846,0,0,1,0
0704.2872,0,0,0,0
0704.2882,3,5,1,8
0704.2887,4,4,1,8
0704.2888,0,0,0,0
0704.2906,0,0,1,0
0704.2907,3,6,2,9
0704.2909,0,0,1,0
0704.2914,0,10,2,10
0704.2918,0,0,3,0
0704.2921,0,5,2,5
0704.2923,0,1,1,1
0704.2930,0,9,2,9
0704.2938,9,0,1,9
0704.2939,0,0,1,0
0704.2942,0,0,1,0
0704.2943,0,0,1,0
0704.2949,0,0,2,0
0704.2958,0,0,1,0
0704.2962,0,0,2,0
0704.2970,0,1,2,1
0704.2971,4,4,2,8
0704.2982,0,0,1,0
0704.2997,1,0,1,1
0704.3001,0,0,2,0
0704.3008,1,1,1,2
0704.3009,0,0,2,0
0704.3012,0,5,2,5
0704.3024,0,0,1,0
0704.3026,0,0,1,0
0704.3030,0,0,0,0
0704.3034,0,0,0,0
0704.3038,0,0,1,0
0704.3043,0,0,0,0
0704.3044,0,0,1,0
0704.3050,4,3,1,7
0704.3053,0,12,2,12
0704.3062,0,0,1,0
0704.3064,0,6,1,6
0704.3065,2,3,1,5
0704.3068,0,0,1,0
0704.3069,1,13,2,14
0704.3073,1,13,2,14
0704.3076,0,0,1,0
0704.3078,0,0,1,0
0704.3081,0,0,0,0
0704.3083,0,0,0,0
0704.3088,0,0,1,0
0704.3097,0,0,1,0
0704.3100,0,0,1,0
0704.3104,0,0,1,0
0704.3106,0,22,2,22
0704.3108,1,9,2,10
0704.3121,0,0,1,0
0704.3128,0,0,1,0
0704.3131,0,3,3,3
0704.3135,0,0,1,0
0704.3149,0,1,2,1
0704.3150,0,0,0,0
0704.3152,0,0,1,0
0704.3158,0,0,0,0
0704.3159,0,0,0,0
0704.3162,0,0,0,0
0704.3166,0,0,1,0
0704.3168,0,1,2,1
0704.3171,0,0,2,0
0704.3183,0,0,2,0
0704.3187,0,12,2,12
0704.3188,0,1,2,1
0704.3191,9,14,1,23
0704.3192,3,17,2,20
0704.3200,1,2,1,3
0704.3202,0,0,0,0
0704.3203,0,0,1,0
0704.3206,0,0,1,0
0704.3215,0,0,0,0
0704.3219,0,0,2,0
0704.3224,0,0,1,0
0704.3229,2,0,0,2
0704.3233,0,1,2,1
0704.3235,0,1,2,1
0704.3236,0,0,2,0
0704.3245,0,0,2,0
0704.3247,0,3,2,3
0704.3252,0,0,1,0
0704.3255,0,0,1,0
0704.3257,0,0,2,0
0704.3266,1,1,1,2
0704.3267,2,0,1,2
0704.3269,0,0,1,0
0704.3271,0,8,3,8
0704.3282,0,0,1,0
0704.3285,0,0,1,0
0704.3294,0,0,0,0
0704.3296,0,0,1,0
0704.3315,0,20,1,20
0704.3328,1,1,2,2
0704.3330,0,6,1,6
0704.3331,0,2,1,2
0704.3336,0,7,2,7
0704.3337,1,0,1,1
0704.3341,0,4,2,4
0704.3345,0,0,0,0
0704.3360,0,7,2,7
0704.3361,0,7,1,7
0704.3369,0,0,1,0
0704.3377,0,0,1,0
0704.3380,0,0,1,0
0704.3385,0,0,1,0
0704.3394,0,0,2,0
0704.3414,0,0,2,0
0704.3418,0,0,1,0
0704.3426,0,0,1,0
0704.3431,0,0,1,0
0704.3437,2,0,1,2
0704.3438,0,15,3,15
0704.3441,0,0,3,0
0704.3454,0,1,2,1
0704.3455,0,0,1,0
0704.3458,0,0,1,0
0704.3467,0,0,0,0
0704.3472,0,5,2,5
0704.3473,0,0,1,0
0704.3475,0,4,2,4
0704.3477,0,0,1,0
0704.3488,0,0,1,0
0704.3490,0,0,1,0
0704.3507,4,1,1,5
0704.3508,6,0,0,6
0704.3517,0,0,1,0
0704.3518,0,0,0,0
0704.3528,0,0,0,0
0704.3533,1,5,2,6
0704.3534,0,0,1,0
0704.3539,0,0,1,0
0704.3540,0,0,1,0
0704.3543,0,1,1,1
0704.3545,0,0,2,0
0704.3552,0,20,2,20
0704.3554,0,0,0,0
0704.3557,0,7,2,7
0704.3567,0,1,1,1
0704.3572,0,0,1,0
0704.3581,0,2,2,2
0704.3583,0,0,2,0
0704.3584,0,0,1,0
0704.3587,0,0,0,0
0704.3589,0,0,1,0
0704.3592,0,0,0,0
0704.3597,0,2,1,2
0704.3601,0,0,2,0
0704.3602,0,0,0,0
0704.3604,0,4,1,4
0704.3609,0,0,2,0
0704.3611,0,1,1,1
0704.3614,4,6,1,10
0704.3617,0,8,2,8
0704.3618,0,0,0,0
0704.3623,0,0,1,0
0704.3629,0,0,1,0
0704.3637,0,1,1,1
0704.3654,0,0,2,0
0704.3657,0,0,0,0
0704.3670,0,0,0,0
0704.3675,0,3,2,3
0704.3678,0,0,1,0
0704.3681,0,0,0,0
0704.3682,0,2,2,2
0704.3685,0,0,1,0
0704.3697,0,0,1,0
0704.3704,0,0,1,0
0704.3718,1,45,2,46
0704.3721,0,0,0,0
0704.3722,4,0,1,4
0704.3736,0,0,1,0
0704.3739,3,23,2,26
0704.3764,0,0,1,0
0704.3768,0,0,0,0
0704.3772,0,1,1,1
0704.3795,0,0,0,0
0704.3800,0,8,3,8
0704.3801,0,0,1,0
0704.3803,0,0,0,0
0704.3805,0,0,0,0
0704.3813,3,0,1,3
0704.3831,0,0,1,0
0704.3832,0,0,1,0
0704.3834,0,0,0,0
0704.3836,0,0,2,0
0704.3839,0,0,1,0
0704.3841,0,0,1,0
0704.3842,1,0,1,1
0704.3851,0,26,2,26
0704.3856,2,3,2,5
0704.3883,0,0,1,0
0704.3884,0,0,1,0
0704.3895,2,19,2,21
0704.3900,0,0,1,0
0704.3908,3,6,1,9
0704.3910,0,0,1,0
0704.3915,0,0,2,0
0704.3919,0,0,0,0
0704.3920,0,0,1,0
0704.3925,0,1,1,1
0704.3932,0,0,0,0
0704.3936,0,0,0,0
0704.3941,0,0,1,0
0704.3944,0,0,0,0
0704.3956,0,0,0,0
0704.3960,0,0,1,0
0704.3963,0,0,1,0
0704.3978,0,0,0,0
0704.3979,0,0,1,0
0704.3991,1,1,1,2
0705.0001,0,0,1,0
0705.0002,0,0,2,0
0705.0003,6,6,1,12
0705.0004,0,0,1,0
0705.0009,2,0,1,2
0705.0027,0,0,0,0
0705.0030,0,0,0,0
0705.0041,0,0,0,0
0705.0048,0,0,0,0
0705.0057,0,0,1,0
0705.0062,0,0,1,0
0705.0063,0,0,1,0
0705.0065,0,2,1,2
0705.0066,3,3,1,6
0705.0068,0,0,0,0
0705.0078,0,0,1,0
0705.0084,0,0,2,0
0705.0094,0,0,2,0
0705.0096,0,0,2,0
0705.0119,4,0,0,4
0705.0126,6,0,0,6
0705.0127,0,0,1,0
0705.0133,0,0,1,0
0705.0141,0,0,1,0
0705.0142,0,0,0,0
0705.0145,0,0,0,0
0705.0146,0,4,2,4
0705.0153,0,0,0,0
0705.0154,0,0,1,0
0705.0155,0,0,0,0
0705.0163,0,0,2,0
0705.0164,0,0,1,0
0705.0165,2,5,1,7
0705.0166,0,0,1,0
0705.0169,0,4,2,4
0705.0182,0,0,0,0
0705.0185,0,0,2,0
0705.0215,0,0,2,0
0705.0217,0,0,1,0
0705.0232,0,0,3,0
0705.0234,1,8,2,9
0705.0238,0,0,1,0
0705.0240,0,0,1,0
0705.0246,0,0,1,0
0705.0249,0,0,1,0
0705.0260,0,1,1,1
0705.0266,0,1,2,1
0705.0267,0,0,0,0
0705.0272,0,4,1,4
0705.0273,0,0,1,0
0705.0285,0,0,1,0
0705.0298,0,1,1,1
0705.0300,0,0,1,0
0705.0305,0,0,2,0
0705.0314,0,0,1,0
0705.0328,1,9,2,10
0705.0330,1,9,2,10
0705.0332,0,0,0,0
0705.0343,0,0,2,0
0705.0352,0,0,0,0
0705.0354,0,0,2,0
0705.0355,0,0,0,0
0705.0356,0,0,0,0
0705.0357,0,1,1,1
0705.0358,2,2,1,4
0705.0359,0,0,1,0
0705.0363,0,0,1,0
0705.0367,0,0,1,0
0705.0368,1,0,0,1
0705.0380,0,3,1,3
0705.0385,2,11,2,13
0705.0387,3,3,1,6
0705.0396,0,0,1,0
0705.0400,0,0,1,0
0705.0402,2,11,2,13
0705.0421,0,1,1,1
0705.0429,0,0,1,0
0705.0433,0,0,1,0
0705.0438,0,0,0,0
0705.0440,0,1,1,1
0705.0441,0,0,0,0
0705.0445,0,0,0,0
0705.0447,0,0,1,0
0705.0448,0,0,1,0
0705.0461,1,2,1,3
0705.0464,0,0,1,0
0705.0471,0,2,2,2
0705.0473,0,0,1,0
0705.0475,0,0,2,0
0705.0479,0,0,1,0
0705.0481,0,0,2,0
0705.0483,0,0,0,0
0705.0493,0,0,1,0
0705.0494,1,0,0,1
0705.0512,3,28,2,31
0705.0521,0,0,0,0
0705.0525,0,0,1,0
0705.0530,0,1,2,1
0705.0531,0,1,2,1
0705.0533,4,19,2,23
0705.0536,0,0,1,0
0705.0538,0,1,2,1
0705.0540,0,0,1,0
0705.0541,0,0,1,0
0705.0544,0,0,0,0
0705.0547,0,0,1,0
0705.0559,0,0,1,0
0705.0574,0,0,1,0
0705.0579,0,0,0,0
0705.0583,0,0,1,0
0705.0590,0,0,1,0
0705.0592,0,0,1,0
0705.0598,0,0,1,0
0705.0604,0,1,2,1
0705.0605,0,8,1,8
0705.0607,0,0,1,0
0705.0615,0,0,1,0
0705.0618,1,3,1,4
0705.0623,0,0,2,0
0705.0634,0,0,0,0
0705.0639,0,0,2,0
0705.0642,0,9,2,9
0705.0645,0,0,1,0
0705.0647,0,0,1,0
0705.0660,0,0,1,0
0705.0682,0,0,0,0
0705.0685,2,0,1,2
0705.0696,0,0,1,0
0705.0697,0,0,0,0
0705.0699,1,1,2,2
0705.0701,0,4,1,4
0705.0702,0,0,1,0
0705.0706,0,0,2,0
0705.0707,0,0,1,0
0705.0711,0,0,1,0
0705.0716,0,0,0,0
0705.0726,4,0,0,4
0705.0748,0,1,2,1
0705.0769,0,0,0,0
0705.0780,0,0,2,0
0705.0782,0,6,2,6
0705.0793,1,0,1,1
0705.0810,1,3,2,4
0705.0825,0,0,1,0
0705.0831,0,0,2,0
0705.0851,0,0,0,0
0705.0877,2,0,1,2
0705.0878,0,0,1,0
0705.0883,0,0,0,0
0705.0885,0,0,0,0
0705.0887,0,0,1,0
0705.0889,2,5,1,7
0705.0894,0,0,0,0
0705.0905,0,0,1,0
0705.0910,0,0,1,0
0705.0913,0,0,2,0
0705.0914,2,22,2,24
0705.0918,0,3,2,3
0705.0919,0,0,1,0
0705.0922,4,22,2,26
0705.0935,0,2,1,2
0705.0940,0,0,1,0
0705.0963,0,0,1,0
0705.0966,2,0,1,2
0705.0971,0,0,0,0
0705.0973,0,0,1,0
0705.0977,1,0,1,1
0705.0978,1,0,1,1
0705.0979,0,0,0,0
0705.0986,0,0,0,0
0705.0987,0,0,2,0
0705.0988,0,0,1,0
0705.0993,4,0,0,4
0705.0996,0,0,0,0
0705.1006,0,0,1,0
0705.1007,0,0,0,0
0705.1010,0,0,1,0
0705.1011,0,3,1,3
0705.1015,0,0,0,0
0705.1022,0,0,1,0
0705.1032,0,0,1,0
0705.1034,0,3,2,3
0705.1046,0,0,1,0
0705.1049,0,0,0,0
0705.1060,0,0,1,0
0705.1061,0,0,1,0
0705.1077,0,0,1,0
0705.1088,0,0,1,0
0705.1093,3,20,2,23
0705.1097,0,0,1,0
0705.1108,0,0,1,0
0705.1125,0,1,4,1
0705.1132,0,0,0,0
0705.1135,0,0,1,0
0705.1141,0,0,1,0
0705.1144,0,0,1,0
0705.1145,0,22,1,22
0705.1153,0,0,0,0
0705.1158,0,0,0,0
0705.1160,0,0,0,0
0705.1165,0,0,1,0
0705.1167,0,0,1,0
0705.1170,0,0,1,0
0705.1179,0,0,0,0
0705.1186,0,2,2,2
0705.1189,0,0,1,0
0705.1200,0,2,1,2
0705.1201,0,0,1,0
0705.1206,2,1,1,3
0705.1208,0,0,0,0
0705.1211,0,1,1,1
0705.1231,1,6,2,7
0705.1240,0,0,1,0
0705.1242,0,0,2,0
0705.1246,0,0,2,0
0705.1249,0,10,2,10
0705.1267,0,2,1,2
0705.1278,0,0,1,0
0705.1301,0,0,0,0
0705.1306,0,48,2,48
0705.1311,0,0,1,0
0705.1312,0,0,0,0
0705.1315,0,0,2,0
0705.1317,0,0,1,0
